Altbier;"""Alt"" translates to ""old"" in German. So ""Altbier"" literally translated would be ""old beer"". Despite the connotations of a beer that is past its prime, the name actually derives from the continuing deference to Rhineland brewing traditions. Altbier is a top-fermented ale that is copper in color. It is unique because it undergoes a period of cold-conditioning or lagering. Due to that fact, this style is a hybrid of both ales and lagers. Despite the usually notable hop bitterness, the lagering gives a well-rounded beer with a clean flavor dominated by the malts. Most Altbiers are around 4% to 5% ABV. The normal IBU range is 25 to 52, with most at the lower end of that range.";;;;;;;;;;;;;;;;;;;;
Amber Kellerbier;Kellerbier, literally “cellar beer,” is a relatively unknown beer style in North America, yet in its home in Bavaria, Kellerbier ranks among the most popular beer garden brews. This beer is especially popular in Franconia, a region in southern Germany where the style originated. Franconia holds the distinction of having the greatest density of breweries in the world. There are about a hundred, mostly small, artisanal breweries and brewpubs within a 50-mile radius around Bamberg, the beer capital of Franconia, and many make Kellerbier or a closely related style, such as Zwickelbier or Zoiglbier.;;;;;;;;;;;;;;;;;;;;
American Amber Ale;American Amber Ales (or Red Ales) are a top-fermenting version of the American Amber Lager. This style has the red-copper color and semi-sweet flavor of the American Amber Lager. Due to the use of ale yeast, the aromas have slight traces of fruit. As a general rule, this style uses American hops that give it a minor citrus or grapefruit aroma and flavor. ABV is usually in the range of 4.5% to 6% and IBUs are generally between 30 and 40.;;;;;;;;;;;;;;;;;;;;
American Barleywine;American Barleywines are a complex style that range from amber to dark copper in color. The mouthfeel is generally full and there is a notable malt sweetness, usually present as a caramel or toffee taste and smell. There is also a notable alcohol presence. Hop bitterness in the aroma and taste is medium to very high. ABV can range widely from 8% to 12% or higher.;;;;;;;;;;;;;;;;;;;;
American Brown Ale;American Brown Ales are malty, slightly sweet and full of flavor. Aroma usually has caramel malt or nutty characteristics. Hop notes should be muted, although some examples have a mild citrus character due to the hop varieties used. Color should be brown to reddish-brown. ABV is usually in the 4% to 6.4% range. IBU range should be 24 to 45.;;;;;;;;;;;;;;;;;;;;
American IPA;The American India Pale Ale (IPA) style has an extremely notable hop presence in both aroma and taste. The hop character is always front and center and notable as a floral or citrus character that is quite strong. The color should be light gold to copper and the the feel should be medium with moderate carbonation. The malt character of the style is generally subordinated to the hops. ABV is usually in the range of 5% to 8% and IBUs range from 50 to 70 or higher.;;;;;;;;;;;;;;;;;;;;
American Lager;"American All-Malt Lagers refer to a broadly defined style where the brewer does not use cereal adjuncts (that means rice or corn in the boil/mash for the laypersons amongst us). Due to that fact, the malt character of this style will be stronger. This style is often pale in color, with a notable carbonation. It also shows more notable bitterness than other ""Macro"" lagers that use cereal adjuncts.";;;;;;;;;;;;;;;;;;;;
American Light Lager;The Light Lager is very pale in color and light in aroma and taste. Hop presence in aroma and taste should be very low to nonexistent. Light fruity esters are sometimes present. The feel should be very light and the carbonation should be high. ABV should be 3.5% to 4.4%. IBUs are very low at 5 to 10.;;;;;;;;;;;;;;;;;;;;
American Pale Ale;American Pale Ales vary widely in color, aroma and taste. Color is generally deep copper (amber) to light copper. Aroma generally has very notable floral or citrus hop notes. The taste is highlighted by a notable hops bitterness. Feel should be medium to low. ABV is usually in the range of 4.5% to 6%. IBUs generally range from 30 to 45.;;;;;;;;;;;;;;;;;;;;
American Porter;American Porters are distinguished from English Porters by having a more notable flavor and aroma. In particular, the hop presence should be much more notable in both aroma and flavor. The ABV range should be from 5% to 7%. The IBUs should range from 25-50.;;;;;;;;;;;;;;;;;;;;
American Stout;The American Stout is highlighted by a dark brown to black color. Head retention should be notable also. Aroma has pronounced tones of caramel, chocolate, coffee and a very notable roasted smell. Taste has notable coffee and roasted bitterness, with low to medium hop tones. Any hop tones are usually highlighted by subdued citrus notes. Feel should be medium to full bodied. ABV can range from 5% to 9% and higher. IBUs should range from 30 to 60.;;;;;;;;;;;;;;;;;;;;
American Strong Ale;"The term American Strong Ale is usually used as a ""catch-all"" category for any dark and strong beers that defy a traditional beer style description. This ""style"" shares characteristics with several beers style, including barleywines, old ales and even Double IPAs. Most examples of the style are dark in color, from dark amber to almost black. Hop presence in aroma and flavor can vary widely within the style. One notable factor of most examples of the style is a relatively high ABV, usually 7% or higher.";;;;;;;;;;;;;;;;;;;;
American Wheat Beer;An Americanized version of a Hefe Weizen, these beers range within the pale to golden range in color. Reminiscent of a Hefe Weizen in appearance, unless filtered. Long-lasting head with a light to medium body, higher carbonation is proper. German Weizen flavors and aromas of banana esters and clove-like phenols will not be found. Most use a substantial percentage of wheat malt. Hop character will be low to high but most are moderate in bitterness. There may be some fruitiness from ale fermentation though most examples use of a fairly neutral ale yeast, resulting in a clean fermentation with little to no diacetyl.;;;;;;;;;;;;;;;;;;;;
Australian Sparkling Ale;"A beer style once popular in Australia, especially in the Adelaide area. Today, the only widely available commercial example is Coopers Sparkling Ale.
Coopers Sparkling Ale is a refreshing, golden ale that is top-fermented, displaying fruity aromas, a malt driven palate and a clean finish. Sparkling ale is bottle-conditioned to a high degree of carbonation, and the yeast is usually roused before serving, giving the beer a hefeweizen-like cloudiness in the glass.";;;;;;;;;;;;;;;;;;;;
Baltic Porter;The Baltic Porter is brewed with lager yeast, which gives a smooth cold-fermented beer with few of the ale characters. Color should be black to very dark red-brown. Aroma has caramel sugars, chocolate, coffee and roasted malts. Also, a slight smokiness may also be present. Taste should not have a strong bitterness from either hops or roasted malts. Alcohol is likely notable in the taste. A light cocoa powder, fruity and possibly a slight smoky flavor may also be notable. Hops should be minimal all around, in both aroma and taste. Feel should be medium to full, with a slight sweetness in the lingering aftertaste. ABV should range from 7% to 9% or higher. IBUs should range from 30 to 40.;;;;;;;;;;;;;;;;;;;;
Belgian Blond Ale;The Belgian Blonde Ale is similar to a Tripel. The color should be pale yellow. The flavor should be slightly sweet and less complex than many other pale Belgian styles. The typical Belgian spiciness should only be minimally apparent.;;;;;;;;;;;;;;;;;;;;
Belgian Dark Strong Ale;Belgian Strong Dark Ales range in color from amber to dark brown. The aroma has notes of dark candy sugar, mild dark fruits and roasted malts. Hop presence should be minimal. The taste also has a low hop presence, with roasted malts and dark fruits standing out. There may also be a mild hint of residual sugar sweetness, which can offset the usual alcohol notes. This style generally holds up well to secondary flavor additions, and some brewers will flavor the beer with spices, chocolate or other strong flavors. The feel is generally medium to full. ABV ranges from 7% to 11% or higher. IBUs are low to medium and range from 20 to 50.;;;;;;;;;;;;;;;;;;;;
Belgian Dubbel;The Belgian Dubbel is a medium bodied, dark beer with a malt and nut sweetness. The color is dark amber to dark red-brown. Head retention is usually notable. Aroma should have sweet malts, nuts, chocolate and a mild roasted smell. The aroma may also have a hint of dark fruits or cocoa powder. Hop notes in the aroma are minimal if apparent at all. The taste has low bitterness and virtually no hop flavors. Other flavors include those similar to the aroma - dark fruits, chocolate, mild roasted notes, cocoa powder and malt sweetness. ABV ranges from 6% to 7.5% and can be higher. IBUs are low and range from 20 to 30.;;;;;;;;;;;;;;;;;;;;
Belgian Golden Strong Ale;The Belgian golden ale is a fairly recent development, considering the ancient roots of Belgian brewing. It evolved only about a hundred years ago. The brewers in Belgium came up with the golden ale probably because they had to, not because they were itching to add yet another creation to the sheer endless spectrum of their brews;;;;;;;;;;;;;;;;;;;;
Belgian IPA;"The Belgian IPA combines the hoppy character of the American IPA style with the spicy notes or fruity esters of many Belgian styles. The base style that is usually used is a Tripel. Therefore, the color tends to be lighter colored and higher in alcohol. Since this is essentially a ""Euro IPA"", brewers tend to use European hop varieties in the brewing process. This gives it a somewhat more subdued hop profile when compared to American IPAs.";;;;;;;;;;;;;;;;;;;;
