"","member_url","style","overall","avg2"
"1","https://www.beeradvocate.com/community/members/tillmac62.756934/","American Amber / Red Ale","4",4.035
"2","https://www.beeradvocate.com/community/members/skrumpy.1123479/","American Amber / Red Ale","3.75",4.035
"3","https://www.beeradvocate.com/community/members/duckfacts.1190929/","American Amber / Red Ale","4.75",4.035
"4","https://www.beeradvocate.com/community/members/pro45.1173058/","American Amber / Red Ale","3",4.035
"5","https://www.beeradvocate.com/community/members/morimech.106006/","American Amber / Red Ale","3.75",4.035
"6","https://www.beeradvocate.com/community/members/stooven.733753/","American Amber / Red Ale","4.25",4.035
"7","https://www.beeradvocate.com/community/members/mrfabulous.1188671/","American Amber / Red Ale","4.5",4.035
"8","https://www.beeradvocate.com/community/members/bluecrow.685213/","American Amber / Red Ale","3.5",4.035
"9","https://www.beeradvocate.com/community/members/johncassillo.726089/","American Amber / Red Ale","3.25",4.035
"10","https://www.beeradvocate.com/community/members/greywulfken.495653/","American Amber / Red Ale","3.75",4.035
"11","https://www.beeradvocate.com/community/members/kojevergas.492136/","American Amber / Red Ale","3.25",4.035
"12","https://www.beeradvocate.com/community/members/dallask.1141787/","American Amber / Red Ale","4.25",4.035
"13","https://www.beeradvocate.com/community/members/mynie.6910/","American Amber / Red Ale","3.75",4.035
"14","https://www.beeradvocate.com/community/members/reidrover.1347/","American Amber / Red Ale","3.75",4.035
"15","https://www.beeradvocate.com/community/members/emv.25570/","American Amber / Red Ale","3.75",4.035
"16","https://www.beeradvocate.com/community/members/henryporter7777.912231/","American Amber / Red Ale","4",4.035
"17","https://www.beeradvocate.com/community/members/venice_beacher.1184576/","American Amber / Red Ale","3.75",4.035
"18","https://www.beeradvocate.com/community/members/cjgator3.60686/","American Amber / Red Ale","4",4.035
"19","https://www.beeradvocate.com/community/members/daliandragon.36925/","American Amber / Red Ale","4",4.035
"20","https://www.beeradvocate.com/community/members/avalon07.180837/","American Amber / Red Ale","4",4.035
"21","https://www.beeradvocate.com/community/members/spikester.147743/","American Amber / Red Ale","4.25",4.035
"22","https://www.beeradvocate.com/community/members/gutterpunktarzan.799125/","American Amber / Red Ale","5",4.035
"23","https://www.beeradvocate.com/community/members/jmdrpi.276070/","American Amber / Red Ale","4",4.035
"24","https://www.beeradvocate.com/community/members/dragginballs76.1066881/","American Amber / Red Ale","4",4.035
