type;varietal;food
White Wine;Soave (Superiore);Zucchini Blossoms Fried
White Wine;Sauvignon Blanc;Zucchini Blossoms Fried
White Wine;Riesling;Zucchini Blossoms Fried
White Wine;Pinot Grigio;Zucchini Blossoms Fried
White Wine;Pinot Blanc;Zucchini Blossoms Fried
White Wine;Gewurztraminer;Zucchini Blossoms Fried
White Wine;Chassagne Montrachet, White;Zucchini Blossoms Fried
White Wine;Chardonnay;Zucchini Blossoms Fried
White Wine;Arneis;Zucchini Blossoms Fried
White Wine;Soave (Superiore);Zucchini Blossoms
White Wine;Sauvignon Blanc;Zucchini Blossoms
White Wine;Riesling;Zucchini Blossoms
White Wine;Pinot Grigio;Zucchini Blossoms
White Wine;Pinot Blanc;Zucchini Blossoms
White Wine;Gewurztraminer;Zucchini Blossoms
White Wine;Chassagne Montrachet, White;Zucchini Blossoms
White Wine;Chardonnay;Zucchini Blossoms
White Wine;Arneis;Zucchini Blossoms
Red Wine;Valpolicella;Zucchini
White Wine;Sauvignon Blanc;Zucchini
White Wine;Sancerre;Zucchini
Red Wine;Montepulciano;Zucchini
Red Wine;Dolcetto d'Asti DOC;Zucchini
Red Wine;Dolcetto;Zucchini
Red Wine;Beaujolais;Zucchini
Red Wine;Barbera DOC;Zucchini
Red Wine;Zinfandel;Zamarano Cheese
White Wine;White Wine;Zamarano Cheese
Sherry;Sherry;Zamarano Cheese
Other;Rioja, Red or White;Zamarano Cheese
Red Wine;Red Wine;Zamarano Cheese
Sparkling Wine;Cava;Zamarano Cheese
White Wine;Albarino;Zamarano Cheese
Sparkling Wine;Sparkling Wine;Yogurt Sauces
White Wine;Sauvignon Blanc;Yogurt Sauces
Rose;Rose;Yogurt Sauces
White Wine;Riesling;Yogurt Sauces
White Wine;Chardonnay;Yogurt Sauces
White Wine;Burgundy, White;Yogurt Sauces
Sparkling Wine;Sparkling Wine;Yogurt
White Wine;Sauvignon Blanc;Yogurt
White Wine;Riesling;Yogurt
White Wine;Chardonnay;Yogurt
White Wine;Burgundy, White;Yogurt
White Wine;Viognier;Wild Mushrooms
Red Wine;Super Tuscan;Wild Mushrooms
Red Wine;Sangiovese;Wild Mushrooms
